q_id,topic,query,Ground Truth
1,RE-ELECTION OF MLAS,Who served UP assembly for the longest time?,
2,RE-ELECTION OF MLAS,How many MLAs got reelected in 2022?,195
3,RE-ELECTION OF MLAS,How many MLAs got reelected in 2017?,173
4,RE-ELECTION OF MLAS,How many MLAs got reelected in the last five Assembly Elections?,919
5,RE-ELECTION OF MLAS,How many MLAs got reelected in the last ten Assembly Elections?,
6,RE-ELECTION OF MLAS,How many MLAs of SP got reelected in 2017?,31
7,RE-ELECTION OF MLAS,How many MLAs of SP got reelected in 2022?,54
8,RE-ELECTION OF MLAS,How many MLAs of SP got reelected in the last five elections?,303
9,RE-ELECTION OF MLAS,How many MLAs of BSP got reelected in 2017?,8
10,RE-ELECTION OF MLAS,How many MLAs of BSP got reelected in 2022?,0
11,RE-ELECTION OF MLAS,How many MLAs of BSP got reelected in the last five elections?,152
12,RE-ELECTION OF MLAS,How many MLAs of BJP got reelected in 2017?,126
13,RE-ELECTION OF MLAS,How many MLAs of BJP got reelected in 2022?,130
14,RE-ELECTION OF MLAS,How many MLAs of BJP got reelected in the last five elections?,365
15,RE-ELECTION OF MLAS,How many MLAs of Congress got reelected in 2017?,3
16,RE-ELECTION OF MLAS,How many MLAs of Congress got reelected in 2022?,2
17,RE-ELECTION OF MLAS,How many MLAs of Congress got reelected in the last five elections?,43
18,RE-ELECTION OF MLAS,How many independent MLAs got reelected in 2017?,2
19,RE-ELECTION OF MLAS,How many independent MLAs got reelected in 2022?,0
20,RE-ELECTION OF MLAS,How many independent MLAs got reelected in the last five elections?,12
21,MAXIMUM MARGIN,How many MLAs won with more than one lakh votes in 2022 election?,225
22,MAXIMUM MARGIN,How many MLAs won with more than one lakh votes in 2017 election?,123
23,MAXIMUM MARGIN,How many MLAs won with more than Fifty thousand votes in 2022 election?,403
24,MAXIMUM MARGIN,How many MLAs won with more than Fifty thousand votes in 2017 election?,403
25,MAXIMUM MARGIN,How many MLAs won with more than Twenty Five thousand votes in 2022 election?,403
26,MAXIMUM MARGIN,How many MLAs won with more than Twenty Five thousand votes in 2017 election?,403
27,MAXIMUM MARGIN,Who registered the highest victory margin in the 2022 election?,SUNIL KUMAR SHARMA
28,MAXIMUM MARGIN,Who registered the highest victory margin in the 2017 election?,SUNIL KUMAR SHARMA
29,MAXIMUM MARGIN,Who registered the highest victory margin in the last five elections?,
30,MAXIMUM MARGIN,How many MLAs of BJP have victory margin over ten thousand votes in 2022 election?,254
31,MAXIMUM MARGIN,How many MLAs of Congress have victory margin over ten thousand votes in 2022 election?,2
32,MAXIMUM MARGIN,How many MLAs of BSP have victory margin over ten thousand votes in 2022 election?,1
33,MAXIMUM MARGIN,How many MLAs of SP have victory margin over ten thousand votes in 2022 election?,111
34,MAXIMUM MARGIN,How many MLAs of BJP have victory margin over ten thousand votes in 2017 election?,312
35,MAXIMUM MARGIN,How many MLAs of Congress have victory margin over ten thousand votes in 2017 election?,7
36,MAXIMUM MARGIN,How many MLAs of BSP have victory margin over ten thousand votes in 2017 election?,19
37,MAXIMUM MARGIN,How many MLAs of SP have victory margin over ten thousand votes in 2017 election?,47
38,MINIMUM MARGIN,How many MLAs lost with less than hundred votes in 2022 election?,23
39,MINIMUM MARGIN,How many MLAs lost with less than hundred votes in 2017 election?,18
40,MINIMUM MARGIN,How many MLAs lost with less than five hundred votes in 2022 election?,1120
41,MINIMUM MARGIN,How many MLAs lost with less than five hundred votes in 2017 election?,1103
42,MINIMUM MARGIN,How many MLAs lost with less than one thousand votes in 2022 election?,2209
