ac_no,ac_name_x,regions,caste,locality,district,s_no,candidate_name,party,evm_votes,postal_votes,votes,vote_share,st_name,st_no,ac_name_y,constituency_code,position,total_votes,margin,margin_percent,vote_share_percent,margin_buckets_percent,margin_buckets_votes
1,Nippani,Maharashtra - Karnataka,Lingayat,Rural,Belgaum ,4,JOLLE SHASHIKALA ANNASAHEB,Bharatiya Janata Party,72952,396,73348,39.14,Karnataka,S10,Nippani,1,1,187412,7292,3.890892792,39.13730177,(0-5),Between 5000 & 10000
1,Nippani,Maharashtra - Karnataka,Lingayat,Rural,Belgaum ,5,UTTAM RAOSAHEB PATIL,Nationalist Congress Party,65614,442,66056,35.25,Karnataka,S10,Nippani,1,2,187412,21949,11.71162999,35.24640898,(10-20),>20000
1,Nippani,Maharashtra - Karnataka,Lingayat,Rural,Belgaum ,1,KAKASAHEB P. PATIL,Indian National Congress,43932,175,44107,23.53,Karnataka,S10,Nippani,1,3,187412,43188,23.04441551,23.53477899,(>20),>20000
1,Nippani,Maharashtra - Karnataka,Lingayat,Rural,Belgaum ,11,NOTA,None of the Above,914,5,919,0.49,Karnataka,S10,Nippani,1,4,187412,273,0.145668367,0.490363477,(0-5),Less than 1000
1,Nippani,Maharashtra - Karnataka,Lingayat,Rural,Belgaum ,6,SHAKUNTALA ASHOK TELI,Kalyana Rajya Pragathi Paksha,645,1,646,0.34,Karnataka,S10,Nippani,1,5,187412,35,0.018675432,0.34469511,(0-5),Less than 1000
1,Nippani,Maharashtra - Karnataka,Lingayat,Rural,Belgaum ,2,RAJARAM URF RAJU  POWAR,Janata Dal (Secular),610,1,611,0.33,Karnataka,S10,Nippani,1,6,187412,39,0.020809767,0.326019679,(0-5),Less than 1000
1,Nippani,Maharashtra - Karnataka,Lingayat,Rural,Belgaum ,3,RAJESH  BANAVANNA,Aam Aadmi Party,557,15,572,0.31,Karnataka,S10,Nippani,1,7,187412,201,0.107250336,0.305209912,(0-5),Less than 1000
1,Nippani,Maharashtra - Karnataka,Lingayat,Rural,Belgaum ,7,JAYARAM  MIRAJKAR,Independent,369,2,371,0.2,Karnataka,S10,Nippani,1,8,187412,80,0.042686701,0.197959576,(0-5),Less than 1000
1,Nippani,Maharashtra - Karnataka,Lingayat,Rural,Belgaum ,10,SAMBHAJIDADA BAPUSO THORAVAT,Independent,287,4,291,0.16,Karnataka,S10,Nippani,1,9,187412,2,0.001067168,0.155272875,(0-5),Less than 1000
1,Nippani,Maharashtra - Karnataka,Lingayat,Rural,Belgaum ,8,JITENDRA SUBHASH NERLE,Independent,288,1,289,0.15,Karnataka,S10,Nippani,1,10,187412,87,0.046421787,0.154205707,(0-5),Less than 1000
1,Nippani,Maharashtra - Karnataka,Lingayat,Rural,Belgaum ,9,RAGHUNATH MALAKARI ARAGE,Independent,199,3,202,0.11,Karnataka,S10,Nippani,1,11,187412,,,0.10778392,(>20),>20000
2,Chikkodi-Sadalga,Maharashtra - Karnataka,Lingayat,Rural,Belgaum ,2,GANESH PRAKASH HUKKERI,Indian National Congress,127324,1025,128349,69.82,Karnataka,S10,Chikkodi-Sadalga,2,1,183835,78509,42.70623113,69.81749939,(>20),>20000
2,Chikkodi-Sadalga,Maharashtra - Karnataka,Lingayat,Rural,Belgaum ,3,KATTI RAMESH VISHWANATH,Bharatiya Janata Party,49575,265,49840,27.11,Karnataka,S10,Chikkodi-Sadalga,2,2,183835,48556,26.41281584,27.11126826,(>20),>20000
2,Chikkodi-Sadalga,Maharashtra - Karnataka,Lingayat,Rural,Belgaum ,1,ARJUN BANDU MANE,Bahujan Samaj Party,1276,8,1284,0.7,Karnataka,S10,Chikkodi-Sadalga,2,3,183835,327,0.1778769,0.698452417,(0-5),Less than 1000
2,Chikkodi-Sadalga,Maharashtra - Karnataka,Lingayat,Rural,Belgaum ,12,NOTA,None of the Above,954,3,957,0.52,Karnataka,S10,Chikkodi-Sadalga,2,4,183835,255,0.138711344,0.520575516,(0-5),Less than 1000
2,Chikkodi-Sadalga,Maharashtra - Karnataka,Lingayat,Rural,Belgaum ,5,SUHAS SADASHIVAPPA WALKE,Janata Dal (Secular),700,2,702,0.38,Karnataka,S10,Chikkodi-Sadalga,2,5,183835,12,0.006527593,0.381864172,(0-5),Less than 1000
2,Chikkodi-Sadalga,Maharashtra - Karnataka,Lingayat,Rural,Belgaum ,10,DR. MILAN VITHAL KAMBLE,Independent,687,3,690,0.38,Karnataka,S10,Chikkodi-Sadalga,2,6,183835,27,0.014687084,0.375336579,(0-5),Less than 1000
2,Chikkodi-Sadalga,Maharashtra - Karnataka,Lingayat,Rural,Belgaum ,11,MOHAN GURAPPA MOTANNAVAR,Independent,661,2,663,0.36,Karnataka,S10,Chikkodi-Sadalga,2,7,183835,229,0.124568227,0.360649495,(0-5),Less than 1000
2,Chikkodi-Sadalga,Maharashtra - Karnataka,Lingayat,Rural,Belgaum ,9,MANJUNATH BALU PARAGOUD,Karnataka Rajya Ryota Sangha,432,2,434,0.24,Karnataka,S10,Chikkodi-Sadalga,2,8,183835,28,0.01523105,0.236081269,(0-5),Less than 1000
