ac_no,ac_name_x,regions,caste,locality,district,s_no,candidate_name,party,evm_votes,postal_votes,votes,vote_share,st_name,st_no,ac_name_y,constituency_code,position,total_votes,margin,margin_percent,vote_share_percent,margin_buckets_percent,margin_buckets_votes
1,Nippani,Maharashtra - Karnataka,Lingayat,Rural,Belgaum ,4,JOLLE SHASHIKALA ANNASAHEB,Bharatiya Janata Party,72952,396,73348,39.14,Karnataka,S10,Nippani,1,1.0,187412,7292.0,3.8908927923505434,39.13730177363243,(0-5),Between 5000 & 10000
1,Nippani,Maharashtra - Karnataka,Lingayat,Rural,Belgaum ,5,UTTAM RAOSAHEB PATIL,Nationalist Congress Party,65614,442,66056,35.25,Karnataka,S10,Nippani,1,2.0,187412,21949.0,11.711629991676094,35.24640898128188,(10-20),>20000
1,Nippani,Maharashtra - Karnataka,Lingayat,Rural,Belgaum ,1,KAKASAHEB P. PATIL,Indian National Congress,43932,175,44107,23.53,Karnataka,S10,Nippani,1,3.0,187412,43188.0,23.04441551234713,23.53477898960579,(>20),>20000
1,Nippani,Maharashtra - Karnataka,Lingayat,Rural,Belgaum ,11,NOTA,None of the Above,914,5,919,0.49,Karnataka,S10,Nippani,1,4.0,187412,273.0,0.14566836702025485,0.4903634772586601,(0-5),Less than 1000
1,Nippani,Maharashtra - Karnataka,Lingayat,Rural,Belgaum ,6,SHAKUNTALA ASHOK TELI,Kalyana Rajya Pragathi Paksha,645,1,646,0.34,Karnataka,S10,Nippani,1,5.0,187412,35.0,0.01867543166926344,0.3446951102384052,(0-5),Less than 1000
1,Nippani,Maharashtra - Karnataka,Lingayat,Rural,Belgaum ,2,RAJARAM URF RAJU  POWAR,Janata Dal  (Secular),610,1,611,0.33,Karnataka,S10,Nippani,1,6.0,187412,39.0,0.020809766717179264,0.32601967856914177,(0-5),Less than 1000
1,Nippani,Maharashtra - Karnataka,Lingayat,Rural,Belgaum ,3,RAJESH  BANAVANNA,Aam Aadmi Party,557,15,572,0.31,Karnataka,S10,Nippani,1,7.0,187412,201.0,0.10725033615777005,0.3052099118519625,(0-5),Less than 1000
1,Nippani,Maharashtra - Karnataka,Lingayat,Rural,Belgaum ,7,JAYARAM  MIRAJKAR,Independent,369,2,371,0.2,Karnataka,S10,Nippani,1,8.0,187412,80.0,0.04268670095831644,0.19795957569419248,(0-5),Less than 1000
1,Nippani,Maharashtra - Karnataka,Lingayat,Rural,Belgaum ,10,SAMBHAJIDADA BAPUSO THORAVAT,Independent,287,4,291,0.16,Karnataka,S10,Nippani,1,9.0,187412,2.0,0.001067167523957911,0.15527287473587603,(0-5),Less than 1000
1,Nippani,Maharashtra - Karnataka,Lingayat,Rural,Belgaum ,8,JITENDRA SUBHASH NERLE,Independent,288,1,289,0.15,Karnataka,S10,Nippani,1,10.0,187412,87.0,0.04642178729216913,0.15420570721191812,(0-5),Less than 1000
1,Nippani,Maharashtra - Karnataka,Lingayat,Rural,Belgaum ,9,RAGHUNATH MALAKARI ARAGE,Independent,199,3,202,0.11,Karnataka,S10,Nippani,1,11.0,187412,,,0.107783919919749,(>20),>20000
2,Chikkodi-Sadalga,Maharashtra - Karnataka,Lingayat,Rural,Belgaum ,2,GANESH PRAKASH HUKKERI,Indian National Congress,127324,1025,128349,69.82,Karnataka,S10,Chikkodi-Sadalga,2,1.0,183835,78509.0,42.70623113117741,69.81749938803819,(>20),>20000
2,Chikkodi-Sadalga,Maharashtra - Karnataka,Lingayat,Rural,Belgaum ,3,KATTI RAMESH VISHWANATH,Bharatiya Janata Party,49575,265,49840,27.11,Karnataka,S10,Chikkodi-Sadalga,2,2.0,183835,48556.0,26.412815840291564,27.11126825686077,(>20),>20000
