q_id,topic,query,Ground Truth,,
1,RE-ELECTION OF MLAS,Who served UP assembly for the longest time?,MULAYAM SINGH YADAV served UP assembly for the longest time with 11 terms.,,
2,RE-ELECTION OF MLAS,How many MLAs got reelected in 2022?,195 MLAs got reelected in 2022.,,
3,RE-ELECTION OF MLAS,How many MLAs got reelected in 2017?,173 MLAs got reelected in 2017.,,
4,RE-ELECTION OF MLAS,How many MLAs got reelected in the last five Assembly Elections?,919 MLAs got reelected in the last five Assembly Elections.,,
5,RE-ELECTION OF MLAS,How many MLAs got reelected in the last ten Assembly Elections?,919 MLAs got reelected in the last ten Assembly Elections.,,
6,RE-ELECTION OF MLAS,How many MLAs of SP got reelected in 2017?,31 MLAs of SP got reelected in 2017.,,
7,RE-ELECTION OF MLAS,How many MLAs of SP got reelected in 2022?,54 MLAs of SP got reelected in 2022.,,
8,RE-ELECTION OF MLAS,How many MLAs of SP got reelected in the last five elections?,303 MLAs of SP got reelected in the last five elections.,,
9,RE-ELECTION OF MLAS,How many MLAs of BSP got reelected in 2017?,8,,
10,RE-ELECTION OF MLAS,How many MLAs of BSP got reelected in 2022?,0 MLAs of BSP got reelected in 2022.,,
11,RE-ELECTION OF MLAS,How many MLAs of BSP got reelected in the last five elections?,152 MLAs of BSP got reelected in the last five elections.,,
12,RE-ELECTION OF MLAS,How many MLAs of BJP got reelected in 2017?,126 MLAs of BJP got reelected in 2017.,,
13,RE-ELECTION OF MLAS,How many MLAs of BJP got reelected in 2022?,130 MLAs of BJP got reelected in 2022.,,
14,RE-ELECTION OF MLAS,How many MLAs of BJP got reelected in the last five elections?,365 MLAs of BJP got reelected in the last five elections.,,
15,RE-ELECTION OF MLAS,How many MLAs of Congress got reelected in 2017?,3,,
16,RE-ELECTION OF MLAS,How many MLAs of Congress got reelected in 2022?,2,,
17,RE-ELECTION OF MLAS,How many MLAs of Congress got reelected in the last five elections?,43 MLAs of Congress got reelected in the last five elections.,,
18,RE-ELECTION OF MLAS,How many independent MLAs got reelected in 2017?,2,,
19,RE-ELECTION OF MLAS,How many independent MLAs got reelected in 2022?,0,,
20,RE-ELECTION OF MLAS,How many independent MLAs got reelected in the last five elections?,12,,
21,MAXIMUM MARGIN,How many MLAs won with more than one lakh votes in 2022 election?,225 MLAs won with more than one lakh votes in the 2022 election.,,
22,MAXIMUM MARGIN,How many MLAs won with more than one lakh votes in 2017 election?,123 MLAs won with more than one lakh votes in the 2017 election.,,
23,MAXIMUM MARGIN,How many MLAs won with more than Fifty thousand votes in 2022 election?,403 MLAs won with more than Fifty thousand votes in the 2022 election.,,
24,MAXIMUM MARGIN,How many MLAs won with more than Fifty thousand votes in 2017 election?,862 MLAs won with more than Fifty thousand votes in the 2017 election.,,
25,MAXIMUM MARGIN,How many MLAs won with more than Twenty Five thousand votes in 2022 election?,403 MLAs won with more than Twenty Five thousand votes in the 2022 election.,,
26,MAXIMUM MARGIN,How many MLAs won with more than Twenty Five thousand votes in 2017 election?,403 MLAs won with more than Twenty Five thousand votes in the 2017 election.,,
27,MAXIMUM MARGIN,Who registered the highest victory margin in the 2022 election?,SUNIL KUMAR SHARMA registered the highest victory margin in the 2022 election with a margin of 214835,,
28,MAXIMUM MARGIN,Who registered the highest victory margin in the 2017 election?,SUNIL KUMAR SHARMA registered the highest victory margin in the 2017 election with a margin of 150685,,
29,MAXIMUM MARGIN,Who registered the highest victory margin in the last five elections?,SUNIL KUMAR SHARMA registered the highest victory margin in the last five elections with a margin of 214835,,
30,MAXIMUM MARGIN,How many MLAs of BJP have victory margin over ten thousand votes in 2022 election?,192 MLAs of BJP have victory margin over ten thousand votes in the 2022 election.,,
31,MAXIMUM MARGIN,How many MLAs of Congress have victory margin over ten thousand votes in 2022 election?,1 MLA of Congress has a victory margin over ten thousand votes in the 2022 election.,,
32,MAXIMUM MARGIN,How many MLAs of BSP have victory margin over ten thousand votes in 2022 election?,0 MLAs of BSP have victory margin over ten thousand votes in the 2022 election.,,
33,MAXIMUM MARGIN,How many MLAs of SP have victory margin over ten thousand votes in 2022 election?,65 MLAs of SP have victory margin over ten thousand votes in the 2022 election.,,
34,MAXIMUM MARGIN,How many MLAs of BJP have victory margin over ten thousand votes in 2017 election?,There were 276 MLAs of BJP who had a victory margin over ten thousand votes in the 2017 election.,,
35,MAXIMUM MARGIN,How many MLAs of Congress have victory margin over ten thousand votes in 2017 election?,5,,
36,MAXIMUM MARGIN,How many MLAs of BSP have victory margin over ten thousand votes in 2017 election?,5,,
37,MAXIMUM MARGIN,How many MLAs of SP have victory margin over ten thousand votes in 2017 election?,25 MLAs of SP have victory margin over ten thousand votes in the 2017 election.,,
38,MINIMUM MARGIN,How many MLAs lost with less than hundred votes in 2022 election?,23 MLAs lost with less than hundred votes in the 2022 election.,,
39,MINIMUM MARGIN,How many MLAs lost with less than hundred votes in 2017 election?,18 MLAs lost with less than hundred votes in the 2017 election.,,
