q_id,topic,query,Actual Reply,Match/ Unmatched ,sanika_answered,sanika_sql_query,sanika_sql_reply,sanika_text_reply,sanika_notes,armaan_answered,armaan_sql_query,armaan_sql_reply,armaan_text_reply,armaan_notes
1,general,How many MLA won with more than one lakh votes? ,40,unmatched,Yes,SELECT COUNT(*) FROM table3 WHERE votes > 100000,"[(48,)]",There are 48 MLAs who won with more than one lakh votes.,,YES,SELECT COUNT(*) FROM eci_kr_2023 WHERE votes > 100000,"[(48,)]",48 MLA won with more than one lakh votes.,
2,general,How many MLA won with more than Fifty thousand votes? ,223,unmatched,Yes,SELECT COUNT(*) FROM table3 WHERE votes > 50000,"[(419,)]",There were 419 MLA candidates who won with more than fifty thousand votes.,,YES,SELECT COUNT(*) FROM eci_kr_2023 WHERE votes > 50000,"[(419,)]",419 MLA won with more than Fifty thousand votes.,
3,general,How many MLA won with more than Twenty Five thousand votes? ,224,unmatched,Yes,SELECT COUNT(*) FROM table3 WHERE votes > 25000,"[(512,)]",There are 512 MLA who won with more than twenty five thousand votes.,,YES,SELECT COUNT(*) FROM eci_kr_2023 HERE votes > 25000,"[(512,)]",512 MLA won with more than Twenty Five thousand votes.,
4,general,How many MLA won with more than Twenty Five thousand votes? ,224,unmatched ,Yes,SELECT COUNT(*) FROM table3 WHERE votes > 25000,"[(512,)]",There are 512 MLA who won with more than twenty five thousand votes.,,YES,SELECT COUNT(*) FROM eci_kr_2023 HERE votes > 25000,"[(512,)]",512 MLA won with more than Twenty Five thousand votes.,
5,general,Who registered the highest victory margin in the election? ,D K SHIVAKUMAR with margin of 122392,unmatched,Yes,"SELECT candidate_name, margin FROM table3 WHERE margin IS NOT NULL ORDER BY margin DESC LIMIT 1","[('H NAGESH', 132455.0)]","The candidate with the highest victory margin in the election is H NAGESH with a margin of 132,455 votes.",,YES,"SELECT candidate_name, margin FROM eci_kr_2023 ORDER BY margin DESC LIMIT 1;","[('H NAGESH', 132455.0)]","H NAGESH registered the highest victory margin in the 2023 election with a margin of 132,455 votes.",
6,general,How many MLA of BJP have victory margin over ten thousand votes?? ,39,unmatched ,Yes,SELECT COUNT(*) FROM table3 WHERE party = 'Bharatiya Janata Party' AND margin > 10000;,"[(172,)]",There are 172 MLA of BJP who have a victory margin over ten thousand votes.,,YES,"SELECT COUNT(*) FROM eci_kr_2023 WHERE party = ""Bharatiya Janata Party"" AND margin > 10000;","[(172,)]",There are 172 MLAs of BJP who have a victory margin over ten thousand votes in the 2023 election.,
7,general,How many MLA of Congress have victory margin over ten thousand votes?,98,unmatched ,Partially Yes,SELECT COUNT(*) FROM table3 WHERE party = 'Indian National Congress' AND margin > 10000,"[(181,)]",There are 181 MLA of Congress who have a victory margin over ten thousand votes.,The query generates initially took limit 10 and printed only 10 values.But worked for the second time,NO,"SELECT COUNT(*) FROM eci_kr_2023 WHERE party = ""Indian National Congress"" AND margin > 10000 AND ac_name_y = ""2023"" LIMIT 5;","[(0,)]",There are 0 MLA of Congress who have a victory margin over ten thousand votes in the 2023 election.,Year is not a field
8,general,Number of candidates fielded by the BJP?,224,matched,Yes,SELECT COUNT(*) FROM table3 WHERE party = 'Bharatiya Janata Party' ,"[(224,)]",There are 224 candidates fielded by the BJP.,,YES,"SELECT COUNT(*) FROM eci_kr_2023 WHERE party = ""Bharatiya Janata Party""","[(224,)]",Number of candidates fielded by the BJP is 224.,
9,general,Number of candidates fielded by the JD(S)?,209,matched with,No,Not considering JD (S) as Janata Dal (Secular),0,0,Not considering Janata Dal (Secular),YES,"SELECT COUNT(*) FROM eci_kr_2023 WHERE party = ""Janata Dal (Secular)""","[(209,)]",Number of candidates fielded by the JD(S) is 209.,
10,general,Number of candidates fielded by the Congress?,223,matched with armaan_answer,Yes (not sure),SELECT COUNT(DISTINCT candidate_name) FROM table3 WHERE party = 'Indian National Congress',"[(223,)]","The number of candidates fielded by the Congress is 223.
",Not sure if the query has to take Count of Distinct,YES,"SELECT COUNT(*) FROM eci_kr_2023 WHERE party = ""Indian National Congress""","[(223,)]",Number of candidates fielded by the Congress is 223.,
11,maximum_margin,How many MLA won with more than one lakh votes in 2023 election? ,40,unmatched,Yes,SELECT COUNT(*) FROM table3 WHERE votes > 100000,"[(48,)]",There are 48 MLAs who won with more than one lakh votes.,"After removing ""2023 elections"" from the query",YES,SELECT COUNT(*) FROM eci_kr_2023 WHERE votes > 100000,"[(48,)]",48 MLA won with more than one lakh votes.,
12,maximum_margin,How many MLA won with more than Fifty thousand votes in 2023 election? ,223,unmatched,Yes,SELECT COUNT(*) FROM table3 WHERE votes > 50000,"[(419,)]",There are 419 MLAs who won with more than fifty thousand votes.,,YES,SELECT COUNT(*) FROM eci_kr_2023 WHERE votes > 50000,"[(419,)]",419 MLA won with more than Fifty thousand votes in the 2023 election.,
13,maximum_margin,How many MLA won with more than Twenty Five thousand votes in 2023 election? ,224,unmatched,Yes,SELECT COUNT(*) FROM table3 WHERE votes > 25000,"[(512,)]",There are 512 MLAs who won with more than twenty-five thousand votes.,,YES,SELECT COUNT(*) FROM eci_kr_2023 WHERE votes > 25000,"[(512,)]",512 MLA won with more than Twenty Five thousand votes.,
